name,capital,labor
0,37990,2444.285714
1,8680,0
2,5900,0
3,10513.33333,4685.714286
4,7000,8285.714286
5,6716.666667,8714.285714
6,3813.333333,10855.71429
7,20946.66667,9428.571429
8,14700,0
9,10400,9000
10,12200,11428.57143
11,9400,85.71428571
12,9100,14241.42857
13,10000,142.8571429
14,0,924.2857143
15,3173.333333,5142.857143
16,15266.66667,4285.714286
17,11470,12285.71429
18,9530,8205.714286
19,4550,3428.571429
20,1333.333333,4714.285714
21,0,8571.428571
22,0,18571.42857
23,11800,285.7142857
24,23833.33333,0
25,8333.333333,5142.857143
26,1120,11714.28571
27,6316.666667,5935.714286
28,7620,0
29,4360,0
30,22633.33333,18571.42857
31,4963.333333,765.7142857
32,6450,750
33,0,8571.428571
34,7333.333333,0
35,0,6312.857143
36,5000,4571.428571
37,6666.666667,4285.714286
38,1066.666667,5000
39,5573.333333,12857.14286
40,13333.33333,8571.428571
41,1253.333333,11428.57143
42,0,6142.857143
43,2420,92.85714286
44,9073.333333,84.28571429
45,4166.666667,857.1428571
46,6666.666667,11428.57143
47,1480,0
48,36920,0
49,17000,8714.285714
50,5600,6142.857143
51,13083.33333,5892.857143
52,2666.666667,11142.85714
53,8400,10937.14286
54,15000,214.2857143
55,3280,0
56,10666.66667,8857.142857
57,13623.33333,1142.857143
58,4000,0
59,19566.66667,7428.571429
60,12133.33333,8571.428571
61,2800,0
62,6430,10645.71429
63,666.6666667,6857.142857
64,11333.33333,7485.714286
65,0,5142.857143
66,10000,8571.428571
67,18333.33333,10571.42857
68,916.6666667,10000
69,8306.666667,0
70,22156.66667,2071.428571
71,4746.666667,0
72,3433.333333,2142.857143
73,9206.666667,0
74,0,10000
75,74506.66667,0
76,6466.666667,0
77,8206.666667,0
78,9450,17857.14286
79,7466.666667,2857.142857
80,7000,7085.714286
81,19213.33333,3411.428571
82,23333.33333,11714.28571
83,0,15714.28571
84,0,12142.85714
85,15666.66667,7428.571429
86,11400,12571.42857
87,58500,21428.57143
88,0,12571.42857
89,11866.66667,10714.28571
90,5333.333333,9285.714286
91,0,11428.57143
92,7920,8571.428571
93,9240,8742.857143
94,13666.66667,14285.71429
95,166.6666667,17142.85714
96,0,5415.714286
97,1666.666667,3907.142857
98,2500,1142.857143
99,5413.333333,3014.285714
100,10583.33333,285.7142857
101,20000,2857.142857
102,17266.66667,12857.14286
103,7666.666667,6857.142857
104,11746.66667,0
105,21833.33333,11788.57143
106,0,15714.28571
107,17570,12178.57143
108,2916.666667,0
109,8000,0
110,5840,178.5714286
111,10553.33333,3214.285714
112,6000,8000
113,8666.666667,15000
114,2866.666667,0
115,11666.66667,4157.142857
116,6100,2428.571429
117,4366.666667,0
118,0,4642.857143
119,8000,0
120,666.6666667,24285.71429
